Feature,Importance
cp,0.15361887678411695
thal,0.11937460916458732
thalach,0.11302759523409774
oldpeak,0.11083085764272729
ca,0.08686843634518097
chol,0.0848809038771742
age,0.08004329416958063
trestbps,0.0736445382922046
exang,0.06299347709677125
slope,0.05414275649845937
sex,0.028456351494785398
restecg,0.02182691071526955
fbs,0.01029139268504485
