max_depth,train_acc,test_acc
1,0.7727272727272727,0.7049180327868853
2,0.7892561983471075,0.6885245901639344
3,0.8471074380165289,0.7540983606557377
4,0.9049586776859504,0.7868852459016393
5,0.9256198347107438,0.7868852459016393
6,0.9380165289256198,0.7540983606557377
7,0.9834710743801653,0.7213114754098361
8,1.0,0.7049180327868853
9,1.0,0.7049180327868853
10,1.0,0.7049180327868853
11,1.0,0.7049180327868853
12,1.0,0.7049180327868853
13,1.0,0.7049180327868853
14,1.0,0.7049180327868853
15,1.0,0.7049180327868853
16,1.0,0.7049180327868853
17,1.0,0.7049180327868853
18,1.0,0.7049180327868853
19,1.0,0.7049180327868853
20,1.0,0.7049180327868853
